"ID","Area / Screen","Feature name","User story","Expected behavior","Relevant files / functions / selectors","Test steps","Actual result","Status","Bug / UX issue found","Severity","Fix notes","Retest result","Final status"
"F001","Setup","Resume active campaign","As a returning player, I want to resume my saved campaign, So that I can continue without reselecting setup options.","When activeCampaignState exists, the setup screen shows a resume card and restores the selected country, scenario, language, diplomatic partner, and active state.","Apple/PaxHistoriaApple/CountrySelectionView.swift resumeBanner; Apple/PaxHistoriaApple/NativeCampaignStore.swift resumeActiveCampaign; selector native-resume-campaign","Review setup/resume code; run macOS XCTest suite; verify launch succeeds.","Resume path is implemented and covered by persistence tests for active campaign restoration.","Retest passed","None","None","No fix needed.","Passed in full macOS XCTest run.","Done"
"F002","Setup","Scenario archive selection","As a strategy player, I want to choose a scenario before starting, So that the campaign begins in the intended historical timeline.","Scenario cards show the catalog, selecting one updates selectedScenarioID, and country names/starting state reflect the selected scenario.","Apple/PaxHistoriaApple/CountrySelectionView.swift scenarioDeck; Apple/PaxHistoriaApple/NativeScenarioCatalog.swift; selectors native-scenario-option-*","Review scenario picker and scenario catalog; run macOS XCTest suite.","Scenario selection is implemented and backed by scenario expansion/customization tests.","Retest passed","None","None","No fix needed.","Passed in full macOS XCTest run.","Done"
"F003","Setup and Settings","Language selection","As a player, I want to choose the app language, So that game content and UI use my preferred language.","Language picker updates store.selectedLanguage, app language preferences, and game state language; settings explains that restart may be required for full interface refresh.","Apple/PaxHistoriaApple/CountrySelectionView.swift languageDeck; Apple/PaxHistoriaApple/NativeSettingsComponents.swift NativeLanguagePicker; Apple/PaxHistoriaApple/NativeCampaignStore.swift setLanguage; selector native-language-picker","Review setup/settings language flows; run lint and macOS XCTest suite.","Language selection exists in setup and settings, persists through store APIs, and localized string resources are present.","Retest passed","None","None","No fix needed.","Passed in lint and full macOS XCTest run.","Done"
"F004","Setup","AI provider setup before campaign start","As a player using AI turns, I want to select and configure the AI provider before starting, So that the first campaign turn can use the provider I chose.","Setup exposes Apple Foundation Models, OpenRouter Free Router, and Z.AI choices; external providers require API keys before continuing; countries cannot be started until the selected provider is usable.","Apple/PaxHistoriaApple/CountrySelectionView.swift providerSetupDeck providerCard apiKeyField; Apple/PaxHistoriaApple/NativeCampaignStore.swift provider setters; selectors native-provider-* native-provider-continue native-provider-start-warning","Review macOS and iOS setup flow; patch missing macOS setup; run lint, full macOS XCTest, and build_and_run verification.","Provider setup is now present in macOS setup and country rows are disabled until provider requirements are met.","Retest passed","Mac setup previously skipped provider setup and could enter campaign with an unusable external provider.","High","Added providerSetupDeck to macOS setup, provider warning row, and country start gating.","Passed lint, full macOS XCTest, and build_and_run verification.","Done"
"F005","Setup","Country search and empty state","As a player starting a campaign, I want to search for a country, So that I can quickly find the country I want to play.","Search filters by country name or code, clear resets the query, and an empty state appears when there are no matches.","Apple/PaxHistoriaApple/CountrySelectionView.swift searchField countryList clearSearch; selectors native-country-search native-country-empty native-clear-country-search","Review search/filter code and iOS UI path; update iOS UI test for provider setup; run lint, macOS XCTest suite, and iOS UI smoke test.","Search, clear, and empty-state UI are implemented; iOS UI test now reaches search after provider selection.","Retest passed","iOS UI test flow was stale because provider setup now appears before country search.","Medium","Updated PaxHistoriaiOSUITests to select provider and continue before searching.","Passed lint, full macOS XCTest, and dedicated iOS Simulator UI smoke test.","Done"
"F006","Setup","Start campaign by country","As a new player, I want to start as a selected country, So that a playable campaign state is created.","Choosing a country initializes state for the selected scenario/language/provider, persists the selected country, and requests suggestions when appropriate.","Apple/PaxHistoriaApple/CountrySelectionView.swift CountryCard choose; Apple/PaxHistoriaApple/NativeCampaignStore.swift choose; selectors native-country-option-* native-country-continue","Review choose flow and provider gating; run full macOS XCTest and launch verification.","Campaign start path creates state; start buttons now respect provider readiness.","Retest passed","Start controls could be reached while provider configuration was incomplete.","High","Disabled country start until the provider deck reports usable configuration.","Passed full macOS XCTest and build_and_run verification.","Done"
"F007","App Shell","macOS split navigation","As a desktop player, I want a sidebar and toolbar for campaign sections, So that I can move quickly between map, orders, intelligence, economy, library, and settings.","The macOS shell uses a split navigation layout with sidebar destinations and toolbar shortcuts for orders, advance, and advisor.","Apple/PaxHistoriaApple/NativeGameView.swift NativeGameShell NativeMacDestination; selectors native-mac-split-shell native-toolbar-orders native-toolbar-advance native-toolbar-advisor","Review shell navigation code; run build_and_run verification.","macOS navigation destinations and toolbar shortcuts are implemented and app launches successfully.","Retest passed","None","None","No fix needed.","Passed build_and_run verification.","Done"
"F008","App Shell","iOS tab and command navigation","As a mobile player, I want tabs and compact command buttons, So that I can access core game actions on a small screen.","The iOS shell exposes Map, Orders, and Intel tabs plus command buttons/drawer for orders, advisor, diplomacy, and advance.","Apple/PaxHistoriaApple/NativeGameView.swift TabView NativeMapCommandBar CommandConsoleDrawer; selectors native-tab-map native-tab-orders native-tab-intel native-command-*","Review iOS shell code and updated iOS UI test selectors; run lint and iOS UI smoke test.","Mobile navigation code and selectors are present; source compiles through shared lint/build checks and passes iOS smoke navigation.","Retest passed","None","None","No fix needed.","Passed lint and dedicated iOS Simulator UI smoke test for Map, Orders, Intel, Diplomacy, and Events navigation.","Done"
"F009","Onboarding","Contextual help overlay","As a first-time player, I want guided contextual help, So that I understand campaign controls before playing.","On first campaign entry, contextual help pages can be advanced, skipped, or completed; reduced-motion preferences are respected by related visual effects.","Apple/PaxHistoriaApple/NativeContextualHelp.swift; Apple/PaxHistoriaApple/NativeGameView.swift contextualHelpOverlay; selectors native-help-next native-help-skip native-help-got-it","Review contextual help state and controls; run macOS XCTest suite.","Help overlay state and controls are implemented with persistent completion behavior.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F010","Overview","Campaign overview dashboard","As a campaign player, I want an overview dashboard, So that I can understand national status, objectives, recent orders, and next decisions.","Overview renders hero status, metrics, objectives, recent orders, advisor prompts, and map/intelligence summaries with responsive macOS/mobile composition.","Apple/PaxHistoriaApple/NativeOverviewScreen.swift; Apple/PaxHistoriaApple/NativeGameView.swift overview destination; selectors native-overview-*","Review overview screen composition; run build_and_run verification.","Overview dashboard is implemented and reachable from app shell.","Retest passed","None","None","No fix needed.","Passed build_and_run verification.","Done"
